epoch,global_step,elapsed_s,loss_total,loss_mask,loss_link,loss_sub,sigma_mask,sigma_link,sigma_sub,alpha,lr,grad_norm,link_auc,sub_r2_clust,sub_r2_tri,eff_rank,visits
1,200,7.1,2.833002,0.093750,5.254993,1.013557,0.800101,1.172984,0.964896,0.507936,0.00099975,10.904062,0.706243,0.556062,0.354176,105.8079,"{""cora"": 8, ""citeseer"": 7, ""pubmed"": 12, ""ppi"": 19, ""facebook_ego"": 7, ""twitch_en"": 41, ""coauthor_cs"": 16, ""dblp_snap"": 63, ""power_grid"": 13, ""as733"": 14}"
2,400,12.8,1.041096,0.088681,2.442007,0.625706,0.623462,1.268924,0.825105,0.528701,0.00099901,5.677729,0.704540,0.696592,0.616356,93.7411,"{""cora"": 4, ""citeseer"": 2, ""pubmed"": 21, ""ppi"": 23, ""facebook_ego"": 2, ""twitch_en"": 47, ""coauthor_cs"": 18, ""dblp_snap"": 69, ""power_grid"": 4, ""as733"": 10}"
3,600,18.2,0.423548,0.091549,1.636844,0.455348,0.493055,1.256573,0.696314,0.544826,0.00099778,4.251591,0.723602,0.745548,0.714258,90.1410,"{""cora"": 4, ""citeseer"": 1, ""pubmed"": 11, ""ppi"": 32, ""facebook_ego"": 8, ""twitch_en"": 44, ""coauthor_cs"": 21, ""dblp_snap"": 64, ""power_grid"": 6, ""as733"": 9}"
4,800,23.8,0.124627,0.085601,1.212320,0.451553,0.412127,1.167611,0.614758,0.559094,0.00099606,5.650438,0.740776,0.772473,0.754908,58.5287,"{""cora"": 8, ""citeseer"": 2, ""pubmed"": 17, ""ppi"": 29, ""facebook_ego"": 10, ""twitch_en"": 47, ""coauthor_cs"": 9, ""dblp_snap"": 61, ""power_grid"": 7, ""as733"": 10}"
5,1000,29.4,-0.150161,0.082391,0.929548,0.401820,0.357010,1.043168,0.561770,0.572384,0.00099384,5.808546,0.764812,0.807117,0.795514,80.7621,"{""cora"": 9, ""citeseer"": 3, ""pubmed"": 13, ""ppi"": 18, ""facebook_ego"": 9, ""twitch_en"": 45, ""coauthor_cs"": 18, ""dblp_snap"": 78, ""power_grid"": 4, ""as733"": 3}"
6,1200,35.5,-0.463618,0.081038,0.711616,0.310304,0.321131,0.900749,0.506322,0.588539,0.00099114,4.249112,0.796278,0.820302,0.823276,59.5115,"{""cora"": 7, ""citeseer"": 6, ""pubmed"": 23, ""ppi"": 26, ""facebook_ego"": 4, ""twitch_en"": 43, ""coauthor_cs"": 17, ""dblp_snap"": 63, ""power_grid"": 6, ""as733"": 5}"
7,1400,41.6,-0.590216,0.078725,0.621111,0.297173,0.303964,0.813251,0.475512,0.601266,0.00098796,4.477553,0.818332,0.832374,0.819861,61.7211,"{""cora"": 9, ""citeseer"": 11, ""pubmed"": 14, ""ppi"": 24, ""facebook_ego"": 4, ""twitch_en"": 47, ""coauthor_cs"": 18, ""dblp_snap"": 57, ""power_grid"": 4, ""as733"": 12}"
8,1600,47.9,-0.609619,0.081199,0.569272,0.297765,0.293432,0.759991,0.452652,0.610424,0.00098429,4.951513,0.836327,0.847400,0.837708,59.5841,"{""cora"": 8, ""citeseer"": 7, ""pubmed"": 11, ""ppi"": 29, ""facebook_ego"": 7, ""twitch_en"": 42, ""coauthor_cs"": 13, ""dblp_snap"": 58, ""power_grid"": 9, ""as733"": 16}"
9,1800,54.3,-0.668196,0.077280,0.550836,0.283807,0.281315,0.735332,0.437390,0.618166,0.00098015,4.753725,0.844718,0.852773,0.849100,52.1000,"{""cora"": 6, ""citeseer"": 5, ""pubmed"": 15, ""ppi"": 27, ""facebook_ego"": 10, ""twitch_en"": 49, ""coauthor_cs"": 16, ""dblp_snap"": 58, ""power_grid"": 8, ""as733"": 6}"
10,2000,60.2,-0.734260,0.078256,0.537769,0.257846,0.278927,0.719107,0.422516,0.627442,0.00097553,5.052229,0.857134,0.857092,0.846562,52.1914,"{""cora"": 8, ""citeseer"": 11, ""pubmed"": 21, ""ppi"": 30, ""facebook_ego"": 9, ""twitch_en"": 44, ""coauthor_cs"": 17, ""dblp_snap"": 46, ""power_grid"": 5, ""as733"": 9}"
11,2200,68.0,-0.763961,0.072789,0.533882,0.256554,0.269453,0.714544,0.413152,0.634877,0.00097044,3.893115,0.857425,0.861892,0.864668,49.2194,"{""cora"": 4, ""citeseer"": 13, ""pubmed"": 20, ""ppi"": 22, ""facebook_ego"": 6, ""twitch_en"": 52, ""coauthor_cs"": 12, ""dblp_snap"": 55, ""power_grid"": 7, ""as733"": 9}"
12,2400,74.2,-0.755778,0.072188,0.534385,0.257253,0.263863,0.715280,0.413535,0.639396,0.00096489,4.153525,0.855402,0.861139,0.870033,48.2717,"{""cora"": 4, ""citeseer"": 5, ""pubmed"": 16, ""ppi"": 23, ""facebook_ego"": 9, ""twitch_en"": 56, ""coauthor_cs"": 12, ""dblp_snap"": 59, ""power_grid"": 6, ""as733"": 10}"
13,2600,79.9,-0.786733,0.071696,0.529377,0.251494,0.258695,0.713360,0.412169,0.645032,0.00095888,3.597284,0.862178,0.867855,0.872422,46.3861,"{""cora"": 6, ""citeseer"": 9, ""pubmed"": 18, ""ppi"": 23, ""facebook_ego"": 5, ""twitch_en"": 49, ""coauthor_cs"": 10, ""dblp_snap"": 61, ""power_grid"": 15, ""as733"": 4}"
14,2800,85.4,-0.676370,0.078354,0.524796,0.271395,0.258893,0.707494,0.409584,0.649834,0.00095241,4.617118,0.865527,0.867939,0.865229,44.4993,"{""cora"": 6, ""citeseer"": 3, ""pubmed"": 14, ""ppi"": 26, ""facebook_ego"": 13, ""twitch_en"": 45, ""coauthor_cs"": 19, ""dblp_snap"": 67, ""power_grid"": 5, ""as733"": 2}"
15,3000,91.7,-0.818172,0.071196,0.528023,0.240360,0.258223,0.714849,0.413502,0.653281,0.00094550,3.506467,0.862506,0.868991,0.866993,31.5492,"{""cora"": 4, ""citeseer"": 4, ""pubmed"": 13, ""ppi"": 23, ""facebook_ego"": 5, ""twitch_en"": 54, ""coauthor_cs"": 14, ""dblp_snap"": 64, ""power_grid"": 7, ""as733"": 12}"
16,3200,97.7,-0.755165,0.081777,0.522592,0.236152,0.259973,0.713977,0.410613,0.656945,0.00093815,3.376760,0.869987,0.866488,0.871758,41.9496,"{""cora"": 4, ""citeseer"": 3, ""pubmed"": 15, ""ppi"": 35, ""facebook_ego"": 8, ""twitch_en"": 46, ""coauthor_cs"": 15, ""dblp_snap"": 60, ""power_grid"": 5, ""as733"": 9}"
17,3400,104.0,-0.687147,0.073320,0.517612,0.281279,0.256706,0.701760,0.406276,0.661305,0.00093037,4.609595,0.875210,0.873344,0.865441,42.2432,"{""cora"": 9, ""citeseer"": 8, ""pubmed"": 16, ""ppi"": 18, ""facebook_ego"": 4, ""twitch_en"": 54, ""coauthor_cs"": 19, ""dblp_snap"": 52, ""power_grid"": 10, ""as733"": 10}"
18,3600,110.0,-0.737846,0.076051,0.516648,0.257417,0.254850,0.706630,0.410129,0.664634,0.00092216,3.079426,0.876714,0.872154,0.871722,39.0744,"{""cora"": 3, ""citeseer"": 6, ""pubmed"": 18, ""ppi"": 23, ""facebook_ego"": 5, ""twitch_en"": 44, ""coauthor_cs"": 15, ""dblp_snap"": 65, ""power_grid"": 8, ""as733"": 13}"
19,3800,116.0,-0.642343,0.088274,0.516693,0.258808,0.264107,0.703674,0.409493,0.667905,0.00091354,4.022389,0.874127,0.870691,0.868865,38.0473,"{""cora"": 5, ""citeseer"": 14, ""pubmed"": 10, ""ppi"": 34, ""facebook_ego"": 9, ""twitch_en"": 47, ""coauthor_cs"": 15, ""dblp_snap"": 61, ""power_grid"": 2, ""as733"": 3}"
20,4000,121.5,-0.824798,0.075821,0.509937,0.230839,0.261790,0.703388,0.403302,0.671295,0.00090451,2.989655,0.883804,0.877042,0.881312,36.3297,"{""cora"": 4, ""citeseer"": 11, ""pubmed"": 16, ""ppi"": 26, ""facebook_ego"": 4, ""twitch_en"": 36, ""coauthor_cs"": 18, ""dblp_snap"": 67, ""power_grid"": 8, ""as733"": 10}"
21,4200,129.0,-0.770496,0.075952,0.517531,0.244036,0.258011,0.708027,0.401394,0.673823,0.00089508,3.110429,0.874452,0.873592,0.884356,41.2961,"{""cora"": 4, ""citeseer"": 4, ""pubmed"": 17, ""ppi"": 26, ""facebook_ego"": 5, ""twitch_en"": 53, ""coauthor_cs"": 12, ""dblp_snap"": 69, ""power_grid"": 7, ""as733"": 3}"
